Name,Importance
脑脊液生化(检)-葡萄糖[Glu]-time-2,0.046671250865223717
脑脊液生化(检)-氯[CL]-time-3,0.04252991731916869
脑脊液细胞学检查(检)-白细胞计数-time-0,0.0419509511010291
脑脊液生化(检)-氯[CL]-time-2,0.04001067294748426
脑脊液生化(检)-葡萄糖[Glu]-time-4,0.037150716084671284
脑脊液生化(检)-微量蛋白[MTP]-time-0,0.03445244368408238
脑脊液生化(检)-微量蛋白[MTP]-time-2,0.03434845117450869
脑脊液生化(检)-氯[CL]-time-4,0.03416519981893954
脑脊液生化(检)-葡萄糖[Glu]-time-3,0.03224998938024915
脑脊液生化(检)-葡萄糖[Glu]-time-1,0.02948041152544959
脑脊液细胞学检查(检)-白细胞计数-time-2,0.029136830859041667
脑脊液生化(检)-葡萄糖[Glu]-time-0,0.027813915842796303
脑脊液常规(检)-白细胞计数-time-0,0.025378910626749938
mr_nn,0.024758407418786054
脑脊液常规(检)-多个核细胞百分比-time-2,0.024451197426270128
脑脊液细胞学检查(检)-多个核细胞百分比-time-4,0.024361448205185935
脑脊液细胞学检查(检)-多个核细胞百分比-time-2,0.022285775936322895
脑脊液生化(检)-氯[CL]-time-1,0.02204325704159587
脑脊液细胞学检查(检)-多个核细胞百分比-time-3,0.0208827422553568
脑脊液细胞学检查(检)-多个核细胞百分比-time-1,0.020543176653933508
脑脊液常规(检)-多个核细胞百分比-time-1,0.019934322426780546
脑脊液常规(检)-白细胞计数-time-4,0.01983033639040431
脑脊液常规(检)-多个核细胞百分比-time-4,0.018726184636333302
脑脊液生化(检)-氯[CL]-time-0,0.017642802489052
脑脊液细胞学检查(检)-多个核细胞百分比-time-0,0.017131940041742778
脑脊液常规(检)-白细胞计数-time-2,0.015021095484429734
脑脊液生化(检)-微量蛋白[MTP]-time-1,0.014806997962249662
脑脊液细胞学检查(检)-蛋白定性-time-2,0.014341275479256321
脑脊液细胞学检查(检)-白细胞计数-time-1,0.014237950977898362
脑脊液生化(检)-微量蛋白[MTP]-time-4,0.013241797570550438
脑脊液细胞学检查(检)-白细胞计数-time-3,0.012868874450968005
脑脊液常规(检)-多个核细胞百分比-time-3,0.011002503658159675
脑脊液常规(检)-白细胞计数-time-1,0.010994922897586126
低钠血症,0.0106255380069648
脑脊液细胞学检查(检)-白细胞计数-time-4,0.010432562803295258
脑脊液常规(检)-透明度-time-4,0.009540846943206654
脑脊液生化(检)-微量蛋白[MTP]-time-3,0.009189006900670227
脑脊液常规(检)-白细胞计数-time-3,0.00881061721077797
脑脊液常规(检)-蛋白定性-time-3,0.008653312663895449
脑脊液常规(检)-蛋白定性-time-1,0.008533578427891047
外展神经损伤,0.00829041535294425
脑脊液常规(检)-多个核细胞百分比-time-0,0.008229514221447737
脑脊液常规(检)-透明度-time-3,0.007568525938501181
脑脊液常规(检)-透明度-time-2,0.007353479968095388
手术后切口愈合不良,0.007186374575868976
脑脊液细胞学检查(检)-透明度-time-1,0.006891437892874222
脑脊液常规(检)-蛋白定性-time-0,0.005730648833423382
脑脊液细胞学检查(检)-透明度-time-0,0.005329622722582365
脑实质出血继发蛛网膜下腔出血,0.004956407429814796
脑脊液细胞学检查(检)-透明度-time-3,0.004731975968674909
mr_xb,0.004425038090058936
脑脊液常规(检)-透明度-time-1,0.00402695635101297
脑脊液常规(检)-蛋白定性-time-2,0.003681558978786489
脑脊液常规(检)-凝固性-time-3,0.0035944219373249026
脑脊液细胞学检查(检)-蛋白定性-time-1,0.003199041840181497
脑脊液常规(检)-蛋白定性-time-4,0.0029654032574719063
脑脊液常规(检)-凝固性-time-2,0.0028981156915173344
脑室分流管去除术,0.0028620028048666492
脑脊液细胞学检查(检)-透明度-time-2,0.002617252607361848
脑室腹腔分流管置入感染,0.002590119452428731
脑脊液常规(检)-凝固性-time-4,0.0025693725728723154
脑脊液细胞学检查(检)-蛋白定性-time-3,0.0025564667314599315
脑脊液细胞学检查(检)-凝固性-time-0,0.002426089186625335
脑脊液细胞学检查(检)-蛋白定性-time-0,0.002278722604361466
脑脊液常规(检)-透明度-time-0,0.0022079262587644853
脑脊液细胞学检查(检)-透明度-time-4,0.0021259921291873346
脑脊液细胞学检查(检)-凝固性-time-2,0.0016011773362766737
脑脊液常规(检)-凝固性-time-0,0.0014713791275946073
脑脊液细胞学检查(检)-蛋白定性-time-4,0.0014388799018551495
脑室Ommaya泵置入术,0.0011076961059997977
脑脊液常规(检)-凝固性-time-1,0.0008558505408062928
脑脊液细胞学检查(检)-凝固性-time-3,0.0
后颅窝病损切除术,0.0
脑脊液细胞学检查(检)-凝固性-time-1,0.0
脑脊液细胞学检查(检)-凝固性-time-4,0.0
多发性大脑挫裂伤,0.0
侧脑室脑池造口引流术,0.0
